District,Num
La Dade Kotopon Municipal,15
Asokore Mampong,21
Upper Denkyira West,21
Dormaa West,22
Jirapa,25
Ledzekuku-Krowor municipal,26
Asanti Akim Central Municipal,39
Ashaiman municipal,42
Nabdam,42
Nandom,42
Krachi West,43
East Akim Municipal,46
Kwahu East,47
Ajumako/ Enyan/ Essiam,48
Ayensuano,48
Lawra,48
Bia East,49
Kpone Katamanso,49
Ada West,50
Asikuma/ Odoben/ Brakwa,51
Bia West,52
Dormaa Municipal,52
Mpohor/Wassa East,52
Kwabre East,53
Twifo Ati Morkwa,53
Dormaa East,54
Effutu Municipal,54
Techiman North,54
Ada East,55
Daffiama Bussie,55
Pusiga,55
West Akim Municipal,55
West Gonja,55
Suaman,56
Amansie West,57
Bekwai Municipal,57
Birim North,57
Kpandai,57
Wassa Amenfi Central,57
Akwapim South,59
Asutifi South,59
Sefwi-Wiawso,59
Birim South,60
Juaboso,60
Kwahu South,60
Lambussie Karni,60
Tano South,60
Upper Denkyira East Municipal,60
Asuogyaman,61
Asutifi North,61
Binduri,61
Builsa South,61
Kintampo South,61
Ahanta West,62
Bawku Municipal,62
Prestea-Huni Valley,62
Sekyere East,62
Tano North,62
Tarkwa Nsuaem Municipal,62
Bodi,63
Ketu North,63
Nkoranza North,63
Nkoranza South,63
Saboba,63
Ahafo Ano North,64
Akatsi South,64
Mamprugu Moagduri,64
North Dayi,64
North Gonja,64
Nzema East Municipal,64
Sefwi Akontombra,64
Sene East,64
Talensi,64
Atiwa,65
Ewutu Senya,65
Kintampo North Municipal,65
Kwahu Afram Plains South,65
Sene West,65
Sissala West,65
Assin North Municipal,66
Atwima Nwabiagya,66
Ga Central Municipal,66
Sekyere Central,66
Akatsi North,67
Banda,67
Kadjebi,67
Yilo Krobo,67
Asunafo North Municipal,68
Biakoye,68
Ekumfi,68
Gomoa West,69
Karaga,69
Mampong Municipal,69
Twifo/ Heman/ Lower Denkyira,69
Aowin,70
Atwima Kwanwoma,70
Builsa North,70
Fanteakwa,70
Jaman North,70
South Dayi,70
Assin South,71
Gushiegu,71
Krachi Nchumuru,71
Upper Manya Krobo,71
Tatale,72
Agona East,73
Awutu Senya East Municipal,73
Jasikan,73
Upper West Akyem,73
Central Gonja,74
Ga West Municipal,74
Nadowli-Kaleo,74
Sawla-Tuna-Kalba,74
Abura/Asebu/ Kwamankese,75
Jaman South,75
Krachi East,75
Mion,75
Yendi Municipal,75
Adaklu-Anyigbe,76
Atebubu-Amantin,76
East Mamprusi,76
Jomoro,76
Nkwanta North,76
Nkwanta South,76
Pru,76
Sefwi Bibiani-Ahwiaso Bekwai,76
Shama,76
Offinso Municipal,77
Sissala East,77
East Gonja,78
Nsawam Adogyire Municipal,78
Agona West Municipal,79
Amansie Central,79
Bole,79
Kwahu West Municipal,79
Suhum Municipal,79
Tema Metropolitan,79
Adansi South,80
Central Tongu,80
Ejisu Juaben Municipal,80
Zabzugu,80
Garu-Tempane,81
Hohoe Municipal,81
Adansi North,82
Bunkpurugu-Yunyoo,82
Ho West,82
Tolon,82
Bawku West,83
Gomoa East,83
Asunafo South,84
Kwaebibirem,84
Techiman Municipal,84
North Tongu,85
Wa East,85
Agotime Ziope,86
Akyemansa,86
Lower Manya Krobo,86
Afadjato South,87
South Tongu,87
Tain,87
Ahafo Ano South,88
Shai Osudoku,88
Wenchi Municipal,88
Wa West,89
Ga East Municipal,90
Kwahu Afram Plains North,90
Nanumba South,90
Akuapim North,91
Denkyembour,91
Keta Municipal,93
Offinso North,94
Kpando,95
Sekyere Kumawu,95
Sunyani Municipal,95
Sunyani West,95
La Nkwantanang Madina Municpal,96
Bosome Freho,97
Ningo Prampram,98
Komenda/ Edina/ Eguafo/ Abire*,100
Wassa Amenfi West,100
Berekum Municipal,101
Kassena-Nankana East,105
Ketu South,105
Mfantsiman,105
Accra Metropolitan,107
Ellembele,107
Kumbugu,108
West Mamprusi,108
Birim Central Municipal,110
Bongo,110
Chereponi,110
Kassena Nankana West,113
Atwima Mponua,114
sekyere afram plains,114
Nanumba North,115
Bosomtwe,116
Ejura Sekyere,119
Savelugu/ Nanton,124
Ho Municipal,126
sekyere south,130
Cape Coast Metro,131
Asante Akim South,136
Sekondi Takoradi Metropolitan,137
Wa Municipal,139
Afigya Kwabre,142
Bolgatanga Municipal,145
Ga South Municipal,147
Sagnerigu,147
Obuasi municipal,148
Asokore Manpong,150
Wassa Amenfi East,160
Asante Akim North,210
Kumasi Metropolitan,308
Tamale Metropolitan,531
