measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Ghana,Both,1 to 4,Years,2016,66.4090176447179,68.03628121020648,64.61364253380353
Life expectancy,Ghana,Both,5 to 9,Years,2016,63.84875953015683,65.44866856994909,62.01917451308931
Life expectancy,Ghana,Both,10 to 14,Years,2016,59.16266221677634,60.6906339671068,57.34512998072907
Life expectancy,Ghana,Both,15 to 19,Years,2016,54.3898406263857,55.87856277869895,52.57897406358032
Life expectancy,Ghana,Both,20 to 24,Years,2016,49.75618500479487,51.17384394750376,47.97573528579746
Life expectancy,Ghana,Both,25 to 29,Years,2016,45.205513334742065,46.54836737899234,43.441121048427455
Life expectancy,Ghana,Both,30 to 34,Years,2016,40.71996154813407,42.03988232403875,38.998223909530715
Life expectancy,Ghana,Both,35 to 39,Years,2016,36.355193918399316,37.57923589456279,34.668091123972744
Life expectancy,Ghana,Both,40 to 44,Years,2016,32.14336533081628,33.28628158364374,30.524167463399813
Life expectancy,Ghana,Both,45 to 49,Years,2016,28.116302371717392,29.144325538037783,26.567077869473476
Life expectancy,Ghana,Both,50 to 54,Years,2016,24.237702881623356,25.140665349361985,22.846726844469092
Life expectancy,Ghana,Both,55 to 59,Years,2016,20.56272141481785,21.308164159710646,19.32978046461613
Life expectancy,Ghana,Both,60 to 64,Years,2016,17.090180565325287,17.67497209371185,16.077888712718092
Life expectancy,Ghana,Both,65 to 69,Years,2016,13.965668854914163,14.39556533469536,13.159518824276551
